// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.01 sec)   *****
// Found 2 benchmarks:
//   Multitasking.CuncurrentInsertionsToDictionary: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]
//   Multitasking.RunningMultipleTasksSynchronously: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: Multitasking.CuncurrentInsertionsToDictionary: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

WorkloadResult  35: 5 op, 634131400.00 ns, 126.8263 ms/op
WorkloadResult  36: 5 op, 541344600.00 ns, 108.2689 ms/op
WorkloadResult  37: 5 op, 566867000.00 ns, 113.3734 ms/op
WorkloadResult  38: 5 op, 550489100.00 ns, 110.0978 ms/op
WorkloadResult  39: 5 op, 555128700.00 ns, 111.0257 ms/op
WorkloadResult  40: 5 op, 540312000.00 ns, 108.0624 ms/op
WorkloadResult  41: 5 op, 552651100.00 ns, 110.5302 ms/op
WorkloadResult  42: 5 op, 524331900.00 ns, 104.8664 ms/op
WorkloadResult  43: 5 op, 544891700.00 ns, 108.9783 ms/op
GC:  0 0 0 0 0


Mean = 112.4519 ms, StdErr = 1.0421 ms (0.93%); N = 43, StdDev = 6.8334 ms
Min = 104.2630 ms, Q1 = 108.1637 ms, Median = 110.4927 ms, Q3 = 113.6593 ms, Max = 132.6798 ms
IQR = 5.4956 ms, LowerFence = 99.9202 ms, UpperFence = 121.9028 ms
ConfidenceInterval = [108.7652 ms; 116.1385 ms] (CI 99.9%), Margin = 3.6866 ms (3.28% of Mean)
Skewness = 1.5, Kurtosis = 4.47, MValue = 2.18

// **************************
// Benchmark: Multitasking.RunningMultipleTasksSynchronously: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-KEPDVG(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 225800.00 ns, 225.8000 us/op
WorkloadJitting  1: 1 op, 140776000.00 ns, 140.7760 ms/op

WorkloadPilot    1: 2 op, 262317400.00 ns, 131.1587 ms/op
WorkloadPilot    2: 3 op, 385069000.00 ns, 128.3563 ms/op
WorkloadPilot    3: 4 op, 537862400.00 ns, 134.4656 ms/op

WorkloadWarmup   1: 4 op, 525155500.00 ns, 131.2889 ms/op
WorkloadWarmup   2: 4 op, 529116000.00 ns, 132.2790 ms/op
WorkloadWarmup   3: 4 op, 516212800.00 ns, 129.0532 ms/op
WorkloadWarmup   4: 4 op, 538940600.00 ns, 134.7352 ms/op
WorkloadWarmup   5: 4 op, 516310900.00 ns, 129.0777 ms/op
WorkloadWarmup   6: 4 op, 526019100.00 ns, 131.5048 ms/op

WorkloadActual   1: 4 op, 518357300.00 ns, 129.5893 ms/op
WorkloadActual   2: 4 op, 527915900.00 ns, 131.9790 ms/op
WorkloadActual   3: 4 op, 517252500.00 ns, 129.3131 ms/op
WorkloadActual   4: 4 op, 537004200.00 ns, 134.2511 ms/op
WorkloadActual   5: 4 op, 518535700.00 ns, 129.6339 ms/op
WorkloadActual   6: 4 op, 528276100.00 ns, 132.0690 ms/op
WorkloadActual   7: 4 op, 513894900.00 ns, 128.4737 ms/op
WorkloadActual   8: 4 op, 522220300.00 ns, 130.5551 ms/op
WorkloadActual   9: 4 op, 514241400.00 ns, 128.5604 ms/op
WorkloadActual  10: 4 op, 536255100.00 ns, 134.0638 ms/op
WorkloadActual  11: 4 op, 518663800.00 ns, 129.6660 ms/op
WorkloadActual  12: 4 op, 524707600.00 ns, 131.1769 ms/op
WorkloadActual  13: 4 op, 516439100.00 ns, 129.1098 ms/op
WorkloadActual  14: 4 op, 537040500.00 ns, 134.2601 ms/op
WorkloadActual  15: 4 op, 519953100.00 ns, 129.9883 ms/op

WorkloadResult   1: 4 op, 518357300.00 ns, 129.5893 ms/op
WorkloadResult   2: 4 op, 527915900.00 ns, 131.9790 ms/op
WorkloadResult   3: 4 op, 517252500.00 ns, 129.3131 ms/op
WorkloadResult   4: 4 op, 537004200.00 ns, 134.2511 ms/op
WorkloadResult   5: 4 op, 518535700.00 ns, 129.6339 ms/op
WorkloadResult   6: 4 op, 528276100.00 ns, 132.0690 ms/op
WorkloadResult   7: 4 op, 513894900.00 ns, 128.4737 ms/op
WorkloadResult   8: 4 op, 522220300.00 ns, 130.5551 ms/op
WorkloadResult   9: 4 op, 514241400.00 ns, 128.5604 ms/op
WorkloadResult  10: 4 op, 536255100.00 ns, 134.0638 ms/op
WorkloadResult  11: 4 op, 518663800.00 ns, 129.6660 ms/op
WorkloadResult  12: 4 op, 524707600.00 ns, 131.1769 ms/op
WorkloadResult  13: 4 op, 516439100.00 ns, 129.1098 ms/op
WorkloadResult  14: 4 op, 537040500.00 ns, 134.2601 ms/op
WorkloadResult  15: 4 op, 519953100.00 ns, 129.9883 ms/op
GC:  0 0 0 0 0


Mean = 130.8460 ms, StdErr = 0.5254 ms (0.40%); N = 15, StdDev = 2.0349 ms
Min = 128.4737 ms, Q1 = 129.3131 ms, Median = 129.9883 ms, Q3 = 132.0690 ms, Max = 134.2601 ms
IQR = 2.7559 ms, LowerFence = 125.1793 ms, UpperFence = 136.2029 ms
ConfidenceInterval = [128.6705 ms; 133.0214 ms] (CI 99.9%), Margin = 2.1754 ms (1.66% of Mean)
Skewness = 0.6, Kurtosis = 1.8, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.Multitasking-report.csv
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.Multitasking-report-github.md
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.Multitasking-report.html
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.Multitasking-measurements.csv
  BuildPlots.R
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.Multitasking-20190722-120007-boxplot.png
  BenchmarkDotNet.Artifacts\results\DockerBenchmark.Threading.Multitasking-20190722-120007-barplot.png

// * Detailed results *
Multitasking.CuncurrentInsertionsToDictionary: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]
Runtime = ; GC = 
Mean = 112.4519 ms, StdErr = 1.0421 ms (0.93%); N = 43, StdDev = 6.8334 ms
Min = 104.2630 ms, Q1 = 108.1637 ms, Median = 110.4927 ms, Q3 = 113.6593 ms, Max = 132.6798 ms
IQR = 5.4956 ms, LowerFence = 99.9202 ms, UpperFence = 121.9028 ms
ConfidenceInterval = [108.7652 ms; 116.1385 ms] (CI 99.9%), Margin = 3.6866 ms (3.28% of Mean)
Skewness = 1.5, Kurtosis = 4.47, MValue = 2.18
-------------------- Histogram --------------------
[103.948 ms ; 107.183 ms) | @@@@@@
[107.183 ms ; 110.596 ms) | @@@@@@@@@@@@@@@@@@
[110.596 ms ; 115.878 ms) | @@@@@@@@@@@@@
[115.878 ms ; 119.442 ms) | 
[119.442 ms ; 122.855 ms) | @
[122.855 ms ; 126.763 ms) | 
[126.763 ms ; 130.973 ms) | @@@@
[130.973 ms ; 134.387 ms) | @
---------------------------------------------------

Multitasking.RunningMultipleTasksSynchronously: Job-KEPDVG(Toolchain=InProcessEmitToolchain) [number_of_tasks=100000]
Runtime = ; GC = 
Mean = 130.8460 ms, StdErr = 0.5254 ms (0.40%); N = 15, StdDev = 2.0349 ms
Min = 128.4737 ms, Q1 = 129.3131 ms, Median = 129.9883 ms, Q3 = 132.0690 ms, Max = 134.2601 ms
IQR = 2.7559 ms, LowerFence = 125.1793 ms, UpperFence = 136.2029 ms
ConfidenceInterval = [128.6705 ms; 133.0214 ms] (CI 99.9%), Margin = 2.1754 ms (1.66% of Mean)
Skewness = 0.6, Kurtosis = 1.8, MValue = 2
-------------------- Histogram --------------------
[127.752 ms ; 130.361 ms) | @@@@@@@@
[130.361 ms ; 134.982 ms) | @@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17763.615 (1809/October2018Update/Redstone5)
Intel Core i7-7700HQ CPU 2.80GHz (Kaby Lake), 1 CPU, 8 logical and 4 physical cores
.NET Core SDK=2.2.301
  [Host] : .NET Core 2.2.6 (CoreCLR 4.6.27817.03, CoreFX 4.6.27818.02), 64bit RyuJIT

Toolchain=InProcessEmitToolchain  

|                            Method | number_of_tasks |     Mean |    Error |   StdDev |
|---------------------------------- |---------------- |---------:|---------:|---------:|
|  CuncurrentInsertionsToDictionary |          100000 | 112.5 ms | 3.687 ms | 6.833 ms |
| RunningMultipleTasksSynchronously |          100000 | 130.8 ms | 2.175 ms | 2.035 ms |

// * Legends *
  number_of_tasks : Value of the 'number_of_tasks' parameter
  Mean            : Arithmetic mean of all measurements
  Error           : Half of 99.9% confidence interval
  StdDev          : Standard deviation of all measurements
  1 ms            : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:01:06 (66.5 sec), executed benchmarks: 2

Global total time: 00:01:06 (66.51 sec), executed benchmarks: 2
// * Artifacts cleanup *
